part,Quantity,rotation x,rotation y,rotation z,shelling,shell thickness,gap distance,due date
Impeller2 - Copy.stp,70,30,15,75,FALSE,,4,5
Impeller2.stp,70,0,0,15,FALSE,,4,5
L_18V_Battery_Connector_Base_v3.1.stl,78,60,15,60,FALSE,,4,5
L_hydroponics-Pump-Connector.STL,48,0,45,0,FALSE,,4,7
Large_Birdhouse.stl,12,15,15,45,FALSE,,6,6
caliper_i.stl,228,15,30,45,FALSE,,4,7
HondaClip_1.stl,1800,75,60,75,FALSE,,4,9
HSW bracket - Proraso shaving soap tube.step,500,45,75,30,FALSE,,4,5
shelled_Practice1.3mf,13,0,15,0,TRUE,3,10,5
S_Gearwheel_r.stl,464,60,60,75,TRUE,3,4,7
Spider_STP.step,44,45,75,75,FALSE,,4,9
spring.stl,27,60,15,75,FALSE,,4,9
wire_clip.step,2400,60,15,45,FALSE,,4,5
XS_flanged_3_connector.stl,1200,15,75,60,FALSE,,4,9
ZCornerPart1.stl,440,15,15,75,FALSE,,4,9
ZCornerPart2.stl,404,0,45,0,FALSE,,4,9
Letter_U.stl,33,45,0,1,FALSE,,0,5
Letter_V.stl,37,0,45,2,FALSE,,0,6
Letter_W.stl,40,45,0,3,FALSE,,0,7
Letter_X.stl,33,0,45,4,FALSE,,0,8
Letter_Y.stl,28,45,0,5,FALSE,,0,9
Letter_Z.stl,30,0,45,6,FALSE,,0,5
minus_sign.stl,29,45,0,7,FALSE,,0,6
nine.stl,27,0,45,8,FALSE,,0,7
number_sign.stl,26,45,0,9,FALSE,,0,8
one.stl,24,0,45,10,FALSE,,0,9
plus_sign.stl,23,45,0,11,FALSE,,0,5
pound_sign.stl,22,0,45,12,FALSE,,0,6
and_sign.stl,20,45,0,13,FALSE,,0,7
question_mark.stl,19,0,45,14,FALSE,,0,8
section_sign.stl,17,45,0,15,FALSE,,0,9
seven.stl,16,0,45,16,FALSE,,0,5
six.stl,15,45,0,17,FALSE,,0,6
three.stl,13,0,45,18,FALSE,,0,7
two.stl,12,45,0,19,FALSE,,0,8
yen_sign.stl,10,0,45,20,FALSE,,0,9
zero.stl,9,45,0,21,FALSE,,0,5
bracket_open_close.stl,8,0,45,22,FALSE,,0,6
dollar_sign.stl,6,45,0,23,FALSE,,0,7
eight.stl,5,0,45,24,FALSE,,0,8
euro_sign.stl,3,45,0,25,FALSE,,0,9
exclamation_mark.stl,2,0,45,26,FALSE,,0,5
five.stl,1,45,0,27,FALSE,,0,6
four.stl,1,0,45,28,FALSE,,0,7
Letter_A.stl,2,45,0,29,FALSE,,0,8
Letter_a_lower_case.stl,4,0,45,30,FALSE,,0,9
Letter_at.stl,5,45,0,31,FALSE,,0,5
Letter_B.stl,6,0,45,32,FALSE,,0,6
Letter_b_lower_case.stl,8,45,0,33,FALSE,,0,7
Letter_C.stl,9,0,45,34,FALSE,,0,8
Letter_c_lower_case.stl,11,45,0,35,FALSE,,0,9
Letter_D.stl,12,0,45,36,FALSE,,0,5
Letter_E.stl,13,45,0,37,FALSE,,0,6
Letter_F.stl,15,0,45,38,FALSE,,0,7
Letter_G.stl,16,45,0,39,FALSE,,0,8
Letter_H.stl,18,0,45,40,FALSE,,0,9
Letter_I.stl,19,45,0,41,FALSE,,0,5
Letter_J.stl,20,0,45,42,FALSE,,0,6
Letter_K.stl,22,45,0,43,FALSE,,0,7
Letter_L.stl,23,0,45,44,FALSE,,0,8
Letter_M.stl,25,45,0,45,FALSE,,0,9
Letter_N.stl,26,0,45,46,FALSE,,0,5
Letter_O.stl,27,45,0,47,FALSE,,0,6
Letter_P.stl,29,0,45,48,FALSE,,0,7
Letter_Q.stl,30,45,0,49,FALSE,,0,8
Letter_R.stl,32,0,45,50,FALSE,,0,9
Letter_S.stl,33,45,0,51,FALSE,,0,7
Letter_T.stl,34,0,45,52,FALSE,,0,6
